method,output,cell,content,style,ssim,lpips,e_ssim,l_c,l_s
ccstytr,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703.png,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000001818,Abstract_Expressionism__paul-jenkins_not_detected_235703,0.45047757029533386,0.33778613805770874,0.5361945539633085,1.3534514904022217,0.9582862854003906
ccstytr,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914.png,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000001818,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0.3990175724029541,0.41989433765411377,0.522762424852404,1.6374565362930298,1.0441007614135742
ccstytr,000000001818__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.png,000000001818__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000001818,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0.2624693810939789,0.46080052852630615,0.4834835897978055,1.4134984016418457,0.70862877368927
ccstytr,000000001818__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.png,000000001818__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000001818,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0.1939041167497635,0.754644513130188,0.2628093282076267,2.566525459289551,0.7775591015815735
ccstytr,000000001818__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.png,000000001818__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000001818,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0.34401440620422363,0.6182960867881775,0.4553619077442965,1.4230287075042725,0.6380018591880798
ccstytr,000000001818__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.png,000000001818__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,000000001818,Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473,0.5597825646400452,0.39961719512939453,0.6224571343249762,1.6979258060455322,0.8771202564239502
ccstytr,000000001818__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.png,000000001818__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,000000001818,Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918,0.40035486221313477,0.515312671661377,0.4810587471748326,1.4918925762176514,0.596271812915802
ccstytr,000000001818__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.png,000000001818__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,000000001818,High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505,0.49884018301963806,0.47047290205955505,0.5348552378769276,2.1428909301757812,1.9165315628051758
ccstytr,000000001818__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.png,000000001818__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,000000001818,Impressionism__pierre-auguste-renoir_leaving-the-bath-1890,0.343219518661499,0.5228486061096191,0.40569953221265787,1.8746942281723022,0.6198160648345947
ccstytr,000000001818__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.png,000000001818__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,000000001818,Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566,0.546623170375824,0.3737833499908447,0.6221452034915592,1.5983084440231323,1.0641543865203857
